run_id,dataset,model,architecture,protocol_version,keep_ratio,block_size,child_refresh_steps,score_refresh_steps,v6_selection_mode,v6_gradient_retention,v6_selection_method,v6_early_bird,v6_stability_window,v6_stability_threshold,seed,best_epoch,train_loss,train_accuracy,val_loss,val_accuracy,epoch_time_s,is_best_val_loss,best_epoch_so_far,epochs_without_improvement,forward_time_s,epochs_completed,total_training_time_s,mean_epoch_time_s,mean_forward_ms,mean_backward_ms,mean_memory_mb,child_refresh_events,gradient_scoring_events,dense_scoring_time_s,selector_scoring_time_s,child_rebuild_time_s,topology_frozen,topology_freeze_step,mask_distance_mean,effective_keep_ratio_mean,effective_keep_ratio_min,effective_keep_ratio_max
3aac51f9d32c6f0f,mnist,ssb-v6,cnn,protocol-v6-selector-20-v1,0.2,0,0,10,fixed,,weight_l2,True,5,0.1,1,8,0.036952612940967,0.98835,0.0419419521948322,0.9862,9.74003874999471,1,8,0,,10,97.6401044169761,9.76401044169761,0.7180635596122117,1.42874787069804,518.8774853411514,6,6,0.0,0.0050185830041298,0.0622797919641013,1,50,7.063643427279765e-05,0.1990131578947368,0.1990131578947368,0.1990131578947368
4269be36b7406d35,mnist,ssb-v6,cnn,protocol-v6-selector-20-v1,0.2,0,0,10,fixed,,weight_l2,True,5,0.1,2,10,0.0268927957569559,0.9915666666666668,0.0347607966132462,0.9878,9.359246082996831,1,10,0,,10,95.49358683296305,9.549358683296305,0.7252124824256855,1.400159311697715,519.6149120469083,6,6,0.0,0.0049236250051759994,0.0657079180091383,1,50,1.765910856819936e-05,0.1990131578947368,0.1990131578947368,0.1990131578947368
ac973cd205487547,mnist,ssb-v6,cnn,protocol-v6-selector-20-v1,0.2,0,0,10,fixed,,weight_l2,True,5,0.1,3,10,0.0259586797796189,0.9919833333333332,0.0450766011654399,0.9845,9.555259540997213,1,10,0,,10,95.35847749999084,9.535847749999084,0.8061461596821704,1.381419717174927,522.8731176705757,6,6,0.0,0.0049495420244054,0.0672986240097086,1,50,0.008229144592780901,0.1990131578947368,0.1990131578947368,0.1990131578947368
5e97bf8454af82fc,mnist,ssb-v6,cnn,protocol-v6-selector-20-v1,0.2,0,0,10,fixed,,weight_l2,True,5,0.1,4,10,0.0252022550653666,0.9918,0.0363998697608709,0.988,9.3852717080008,1,10,0,,10,95.34433125097712,9.534433125097712,0.6973111522608126,1.3939695900863116,520.1038712686567,6,6,0.0,0.004867206997005,0.068426375990384,1,50,0.0,0.1990131578947368,0.1990131578947368,0.1990131578947368
ce65846071fe1c98,mnist,ssb-v6,cnn,protocol-v6-selector-20-v1,0.2,0,0,10,fixed,,weight_l2,True,5,0.1,5,8,0.0359636779159307,0.9889,0.045120937430486,0.9849,9.304437666985905,1,8,0,,10,93.58126691696816,9.358126691696816,0.6872595725998801,1.3922844114292143,521.8978844616205,6,6,0.0,0.0045557059929704,0.0611639999988253,1,50,3.531821713639872e-05,0.1990131578947368,0.1990131578947368,0.1990131578947368
50fafed99696d413,mnist,ssb-v6,cnn,protocol-v6-selector-20-v1,0.2,0,0,25,fixed,,taylor,True,5,0.1,1,10,0.0341853409493962,0.9891,0.0400926046523731,0.9867,9.859294250010862,1,10,0,,10,98.7040842090064,9.87040842090064,0.685807587124599,1.3967779700859517,536.7629364339019,188,188,0.9240645771205795,1.0673232039261975,1.6942885421740266,0,0,0.1610551584243487,0.1990131578947368,0.1990131578947368,0.1990131578947368
0536e49c8df54f7b,mnist,ssb-v6,cnn,protocol-v6-selector-20-v1,0.2,0,0,25,fixed,,taylor,True,5,0.1,2,8,0.0405127338290214,0.9872166666666666,0.0427603983270702,0.9869,9.412625625001963,1,8,0,,10,96.54067870700965,9.654067870700965,0.6853822275030381,1.3982419437671985,534.6360274520256,82,82,0.44088120397645597,0.5070592920383166,0.7481473379157212,1,2025,0.12461357214353412,0.1990131578947368,0.1990131578947368,0.1990131578947368
e52d4b3fe81c91bd,mnist,ssb-v6,cnn,protocol-v6-selector-20-v1,0.2,0,0,25,fixed,,taylor,True,5,0.1,3,9,0.0399207919895648,0.98725,0.0417008832706837,0.9863,9.84993608300283,1,9,0,,10,98.9810866239859,9.89810866239859,0.7101010366647524,1.3821229190799222,535.9561300639659,176,176,0.8726256200170531,1.015096954084575,1.5959171301219532,1,4375,0.15825604776204014,0.1990131578947368,0.1990131578947368,0.1990131578947368
5118df18577914ad,mnist,ssb-v6,cnn,protocol-v6-selector-20-v1,0.2,0,0,25,fixed,,taylor,True,5,0.1,4,10,0.0375081977851688,0.98845,0.0413125429279054,0.9886,9.883761459001107,1,10,0,,10,99.16559554100968,9.916559554100967,0.6843414205100646,1.3851713988299503,538.5628498134329,188,188,0.9251762889616566,1.069053748942669,1.7087202890834217,0,0,0.18087038168885577,0.1990131578947368,0.1990131578947368,0.1990131578947368
08b23d29a61f087e,mnist,ssb-v6,cnn,protocol-v6-selector-20-v1,0.2,0,0,25,fixed,,taylor,True,5,0.1,5,9,0.0305308424944678,0.9907833333333332,0.04880892430577,0.9844,9.345077875012066,1,9,0,,10,96.31712966400664,9.631712966400665,0.7069093407131732,1.3815054276422445,535.8354777452025,85,85,0.457471837988119,0.5288980469922488,0.7769545009650712,1,2100,0.11689830193191782,0.1990131578947368,0.1990131578947368,0.1990131578947368
