dataset,model,architecture,protocol_version,keep_ratio,block_size,runs,val_accuracy_mean,val_accuracy_std,train_accuracy_mean,train_accuracy_std,forward_ms_mean,forward_ms_std,backward_ms_mean,backward_ms_std,memory_mb_mean,memory_mb_std,epoch_time_mean,epoch_time_std
cifar10,ssb-v1-block,cnn,protocol-v3,0.4,32,5,0.49935999999999997,0.029651863347857237,0.450112,0.03182423164822678,5.871022475884507,0.008330280937130577,14.217494472441235,0.01206633937322921,770.6792998721228,1.795859149755498,11.623770841793156,0.05323216407034674
cifar10,ssb-v1-block,cnn,protocol-v3,0.4,64,5,0.40170000000000006,0.09350807451765863,0.386712,0.12087570359671125,5.8708445930147155,0.00768305149502872,14.143175839344014,0.014705287323987473,755.5357789855072,1.803952040677125,11.61322373339208,0.04416895151754796
cifar10,ssb-v1-block,cnn,protocol-v3,0.4,128,5,0.35048,0.09543556464966295,0.36254400000000003,0.03593979243123143,5.8578832282621525,0.012939094950111066,14.05901228672584,0.02189964084928069,746.1403266197783,1.038079009432139,11.578486158594023,0.02351382017922417
cifar10,ssb-v1-block,cnn,protocol-v3,0.6,8,5,0.68076,0.009015431215421713,0.669232,0.007013181874156703,5.831089971181296,0.01596931614941894,14.904430348559838,0.048988916653004894,815.038637574595,1.6281447645286196,11.784894783399068,0.03509271823086526
cifar10,ssb-v1-block,cnn,protocol-v3,0.6,16,5,0.67744,0.007984860675052484,0.658984,0.011946550966701684,5.839887953570534,0.008255962686018704,14.806484879004003,0.023884045730487732,792.1059036658141,2.3664226031154354,11.787698225001805,0.019642938698180016
cifar10,ssb-v1-block,cnn,protocol-v3,0.6,32,5,0.67052,0.008281424998150985,0.6423639999999999,0.005896887314507563,5.830031341723397,0.015187313775273015,14.724159528823236,0.014239855325212391,773.6433210784314,2.311030082570607,11.790206391608809,0.01803316758257515
cifar10,ssb-v1-block,cnn,protocol-v3,0.6,64,5,0.6533800000000001,0.016529125808705046,0.63724,0.01195726557370032,5.812677598682573,0.011830098352061405,14.65977845131514,0.015393639628220396,759.9044037723786,2.01052724973571,11.76427157521248,0.02326041457215023
cifar10,ssb-v1-block,cnn,protocol-v3,0.6,128,5,0.6296799999999999,0.03520365037890243,0.608108,0.014767671448132928,5.82249190706758,0.01414897567448831,14.618355383678033,0.025283444364450326,746.9081841432225,1.681836238324437,11.775023158395197,0.021488451791232117
cifar10,ssb-v1-block,cnn,protocol-v3,0.8,8,5,0.7247600000000001,0.015292089458278741,0.741492,0.006713636868344905,5.830354852499018,0.00766777728714322,15.428368497283753,0.014662610045222527,803.2376065643649,2.8068340741803413,12.03032588341739,0.023834414592475782
cifar10,ssb-v1-block,cnn,protocol-v3,0.8,16,5,0.72728,0.016739085996553136,0.7382,0.0065513815336919945,5.825870576154197,0.00913162335986108,15.295580488211566,0.014136079987251002,782.5038469735721,1.3556141730955549,11.987231833196711,0.01996682780451011
cifar10,ssb-v1-block,cnn,protocol-v3,0.8,32,5,0.72326,0.008837590169271294,0.735588,0.006401790374574921,5.826487653124124,0.00841349267939499,15.241108382132987,0.019226440610188415,767.4460597826087,1.2946029522564302,11.995110017003025,0.009007201564646683
cifar10,ssb-v1-block,cnn,protocol-v3,0.8,64,5,0.7247399999999999,0.010970323605071972,0.731784,0.008605572613138516,5.825406348194563,0.0139668927243413,15.20187109403104,0.004791807843058405,755.4649110187553,0.9643740313981934,12.0302918584086,0.022919345022486645
cifar10,ssb-v1-block,cnn,protocol-v3,0.8,128,5,0.71482,0.014501103406292954,0.722184,0.00807614264361397,5.820142216575485,0.003456363184466505,15.131733283860592,0.019157387768302434,746.4222293265132,0.8209080317567583,11.966248875006567,0.013967129716075874
cifar10,ssb-v1-block,cnn,protocol-v3,1.0,8,5,0.74298,0.008561950712308485,0.779068,0.00945860031928613,5.83874767210301,0.007255325882563022,15.67562517297361,0.00941350955856102,734.8166879795397,0.6726027001170831,12.250346525199712,0.027098145721567476
cifar10,ssb-v1-block,cnn,protocol-v3,1.0,16,5,0.74298,0.008561950712308456,0.779068,0.009458600319286161,5.828461383014013,0.019365706531948728,15.677031423346284,0.008074990528646183,735.1371376811594,0.3815552930997602,12.230383041594177,0.006237163918931359
cifar10,ssb-v1-block,cnn,protocol-v3,1.0,32,5,0.74298,0.008561950712308485,0.779068,0.00945860031928613,5.8259489045411215,0.007176642343887117,15.674461535416663,0.005235319747126951,735.435597826087,0.46156248664567656,12.251299674797338,0.0265271896521442
cifar10,ssb-v1-block,cnn,protocol-v3,1.0,64,5,0.74298,0.008561950712308485,0.779068,0.00945860031928613,5.837062501873715,0.018256930875543687,15.680159335288602,0.01918988777690304,734.8536098678602,0.927207565031134,12.266147533198819,0.05635578946925132
cifar10,ssb-v1-block,cnn,protocol-v3,1.0,128,5,0.74298,0.008561950712308485,0.779068,0.00945860031928613,5.879594825282771,0.08693664417841156,15.732625377583144,0.12560654724108777,735.3186141304348,0.613095472641222,12.252540366991889,0.107340670243886
cifar10,ssb-v1-block,mlp,protocol-v3,0.2,8,5,0.12508,0.0242370996614694,0.120152,0.007670288130181291,1.513011641927389,0.007201631040891472,3.964111526740406,0.026959951388946746,829.6863091432226,2.1182011222990305,6.874437717010733,0.04807188817915467
cifar10,ssb-v1-block,mlp,protocol-v3,0.2,16,5,0.12896000000000002,0.022020172569714346,0.127532,0.003998539733452705,1.513118104304899,0.0012936377641714395,3.7985968399250125,0.006829419289891412,790.859441602728,1.9773732544484384,6.851138641790021,0.01843879968793371
cifar10,ssb-v1-block,mlp,protocol-v3,0.2,32,5,0.11098000000000001,0.020092585697216774,0.126616,0.00800289197727922,1.5070862828623182,0.0035393429727230063,3.6693357513484166,0.022331430472969857,766.2438725490196,2.6531088660502187,6.83040379199665,0.024542467169167543
cifar10,ssb-v1-block,mlp,protocol-v3,0.2,64,5,0.11228,0.01284044391755986,0.124492,0.006028011280679558,1.5067412797936741,0.004850759060653545,3.578830338990265,0.0195350963307241,747.7581575021313,2.506358860431483,6.815775399783161,0.031362213093877475
cifar10,ssb-v1-block,mlp,protocol-v3,0.2,128,5,0.11582,0.0164299117465676,0.134488,0.011886308089562545,1.5039770754084656,0.006754314187598628,3.455334365534969,0.009575574109640024,733.5188672208013,2.12203737722317,6.772799641406164,0.022226991610535415
cifar10,ssb-v1-block,mlp,protocol-v3,0.4,8,5,0.20314000000000002,0.030637118010674567,0.208096,0.03644563732465107,1.5127454847529613,0.010828747600047078,5.095983276902652,0.021657507842194258,859.987481351236,5.02980549813137,7.21581247500144,0.012142198955636296
cifar10,ssb-v1-block,mlp,protocol-v3,0.4,16,5,0.2056,0.08091801406361873,0.234804,0.04241629969716831,1.5041785624821766,0.003499402300570984,4.8583070986736185,0.02205707072640707,815.0596707161125,1.2337666201805857,7.1965423414018,0.00890627068627049
cifar10,ssb-v1-block,mlp,protocol-v3,0.4,32,5,0.21475999999999998,0.059350930910980676,0.2404,0.036221454968015834,1.5007938547253907,0.0051579573782608405,4.737457109536554,0.04718931290320346,785.86671728474,2.298271193566565,7.173991491796914,0.02281988192867331
cifar10,ssb-v1-block,mlp,protocol-v3,0.4,64,5,0.20196,0.06198994273267239,0.242484,0.02849656961811369,1.500210202926639,0.0036477092370892756,4.631096739198831,0.005547122642612287,761.8100170502984,1.6637772986001853,7.1829635918024,0.010659899199920312
cifar10,ssb-v1-block,mlp,protocol-v3,0.4,128,5,0.2312,0.04641939249925617,0.22450799999999999,0.042380473333836176,1.498522449041391,0.004539566854223045,4.542739355100155,0.01745198504787766,743.5543211849957,1.4472154762091185,7.151430341578089,0.021792213343097565
cifar10,ssb-v1-block,mlp,protocol-v3,0.6,8,5,0.35144000000000003,0.026224854623047973,0.38193200000000005,0.009595484354632663,1.5041886217485163,0.006601590248649062,6.086320795909947,0.027323677145182548,861.4549552429668,4.556734745863947,7.570227325207088,0.0519392694737606
cifar10,ssb-v1-block,mlp,protocol-v3,0.6,16,5,0.35876,0.04523497540620533,0.382564,0.012300434138679824,1.5030092036332015,0.0017739123947003682,5.848729459966585,0.02237438656323051,820.5263347186701,1.6920472763839385,7.531735441787168,0.0286615198789138
cifar10,ssb-v1-block,mlp,protocol-v3,0.6,32,5,0.37958,0.01654560364568183,0.387012,0.00460177357113536,1.5011601063195283,0.003985014632846817,5.718002976277575,0.029396535484034193,789.3369778346121,1.780004664831629,7.5214176085894,0.020165810278359234
cifar10,ssb-v1-block,mlp,protocol-v3,0.6,64,5,0.39374000000000003,0.019105051687969846,0.38073199999999996,0.01355944394140114,1.5012233279377374,0.0018415666258726796,5.602810748131025,0.009800857962600393,764.551902173913,1.7716717334143324,7.506484533415642,0.017105912868018224
cifar10,ssb-v1-block,mlp,protocol-v3,0.6,128,5,0.38644,0.013258318143716441,0.386252,0.010248771633712996,1.4958991710900387,0.010476029780031475,5.4806937297443605,0.015431377333367588,745.362697144075,0.9628547537474681,7.5688771000131965,0.08749217593142222
cifar10,ssb-v1-block,mlp,protocol-v3,0.8,8,5,0.45974000000000004,0.0069984283950041215,0.45742399999999994,0.0025617337878866154,1.5061832184050108,0.0055718426818697235,7.007485860045584,0.02498290816510987,839.5077179241262,3.9423976688459628,7.957736050186213,0.02469687004631765
cifar10,ssb-v1-block,mlp,protocol-v3,0.8,16,5,0.45877999999999997,0.014013101012980665,0.45965999999999996,0.0039553255238981375,1.5054876594156648,0.007300864306265562,6.814387841296998,0.020293946863531417,804.0678681798806,1.6755211013868423,7.921173808607273,0.018404154897294533
cifar10,ssb-v1-block,mlp,protocol-v3,0.8,32,5,0.46356,0.00596347214297174,0.46143599999999996,0.002512982292018788,1.5015940907496526,0.0038089111233996216,6.707431709158399,0.014265548793192482,779.4094282821824,2.766459126216218,7.904877533193212,0.016802979321002467
cifar10,ssb-v1-block,mlp,protocol-v3,0.8,64,5,0.45636,0.009736169678061318,0.4582,0.0030622867272677053,1.5012726706364046,0.004729343110909293,6.625291987733893,0.029335164655588275,759.6780024509804,1.3409187272800789,7.905967924988363,0.024617011509132394
