run_id,dataset,model,architecture,protocol_version,keep_ratio,block_size,child_refresh_steps,seed,epoch,train_loss,train_accuracy,val_loss,val_accuracy,epoch_time_s,forward_time_s,mean_forward_ms,mean_backward_ms,mean_memory_mb
4a0cbf28a42f58ce,mnist,ssb-v4,cnn,protocol-v4,0.4,0,100,2,3,0.1616425837596257,0.9506833333333332,0.852920751925448,0.9602,3.4453922089887783,,0.9592035740637262,2.144547770726135,498.10658759772565
12b2591abb1301b5,mnist,ssb-v4,cnn,protocol-v4,0.8,0,100,3,3,0.0430404367258151,0.9863666666666666,0.0953576908100396,0.9763,4.401402000046801,,1.542351616908201,3.1234900468834796,498.2141080312722
0d93ff1585e2b90e,mnist,ssb-v4,cnn,protocol-v4,0.8,0,100,1,3,0.0434770501325527,0.98625,0.0525001538519605,0.9871,4.3617356250179,,1.722857973891756,3.4168644090627396,497.22976634683727
b78a8860fb466cb9,mnist,ssb-v4,mlp,protocol-v4,0.6,0,100,2,3,0.1585606063365936,0.9534833333333332,0.2619585435215034,0.9506,2.135441833990626,,0.3724881923110296,0.4934874447141543,472.1776830135039
0e817720cabd7b33,mnist,ssb-v4,cnn,protocol-v4,0.8,0,100,2,3,0.0406692184795935,0.9870833333333332,0.0493218269083987,0.9875,4.395875790971331,,1.5623296272024332,3.1607196524483263,498.4194762793177
63a0f219eeebccdb,mnist,ssb-v4,mlp,protocol-v4,0.6,0,100,3,3,0.1655195809284846,0.9513166666666668,0.3460023312596735,0.943,2.138559124956373,,0.3719638395814389,0.49182698083440696,471.32761416133616
6f95b56acdbf2314,mnist,ssb-v4,mlp,protocol-v4,0.8,0,100,1,3,0.0988947258810202,0.9699333333333332,0.1559722303681075,0.9583,2.1577024169964716,,0.4012545860486497,0.5263763140819,474.9977012260128
c2eb004dfa55ccc8,mnist,ssb-v4,mlp,protocol-v4,0.2,0,100,1,3,0.8662890424092611,0.7623166666666666,2.954408108329773,0.8208,2.161636833974626,,0.3596514144626579,0.47439094257219,469.3271810589908
cb7b4d6e35b732c1,mnist,ssb-v4,cnn,protocol-v4,0.2,0,100,2,3,0.5635995351791382,0.8469833333333333,9.41652078854814,0.8807,2.9337578330305405,,0.7022303361038071,1.4414072569423424,494.70137038024166
e065712b31463c16,mnist,ssb-v4,cnn,protocol-v4,0.4,0,100,1,3,0.1503104234457015,0.955,1.2417606882621302,0.9532,3.4127240829984657,,1.0156121178842081,2.315935821548071,495.48587420042645
789a6b8cf6a09d92,cifar100,ssb-v4,cnn,protocol-v4,0.2,0,100,1,3,4.17938583984375,0.0549,152.144196875,0.0658,4.278166416974273,,1.3333723691981574,3.022422807811943,629.9365009590792
b76fb619cd3b2a63,mnist,dense,mlp,protocol-v4,1.0,0,0,1,3,0.0655839695895711,0.9797666666666668,0.0845370817422866,0.9721,2.157079167023767,,0.4438083978301819,0.5337668769954661,465.02820717839376
8834343e1e6390c2,cifar10,ssb-v4,mlp,protocol-v4,0.4,0,100,1,3,1.6027814527130126,0.42764,4.708184856414795,0.4609,4.106718541996088,,0.83398737062164,0.9774561668825061,721.6960917519182
